title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
'Til There Was You (1997),2.3333333333333335,9,Primal Fear (1996),Indiana Jones and the Last Crusade (1989),"Edge, The (1997)",Beautiful Girls (1996)
1-900 (1994),2.6,5,"Full Monty, The (1997)","Crow, The (1994)","Ice Storm, The (1997)",Hoop Dreams (1994)
101 Dalmatians (1996),2.908256880733945,109,Murder at 1600 (1997),Miracle on 34th Street (1994),Being There (1979),"Remains of the Day, The (1993)"
12 Angry Men (1957),4.344,125,Ulee's Gold (1997),Rear Window (1954),Seven Years in Tibet (1997),Clerks (1994)
187 (1997),3.024390243902439,41,Maverick (1994),Conan the Barbarian (1981),"Magnificent Seven, The (1954)",Cool Hand Luke (1967)
2 Days in the Valley (1996),3.225806451612903,93,"Deer Hunter, The (1978)",North by Northwest (1959),"Bridge on the River Kwai, The (1957)",Ulee's Gold (1997)
"20,000 Leagues Under the Sea (1954)",3.5,72,True Romance (1993),Ben-Hur (1959),Kiss the Girls (1997),Seven Years in Tibet (1997)
2001: A Space Odyssey (1968),3.969111969111969,259,True Romance (1993),Natural Born Killers (1994),Being There (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
3 Ninjas: High Noon At Mega Mountain (1998),1.0,5,-,-,-,-
"39 Steps, The (1935)",4.0508474576271185,59,Con Air (1997),"Frighteners, The (1996)",Swingers (1996),"River Wild, The (1994)"
8 1/2 (1963),3.8157894736842106,38,Star Trek VI: The Undiscovered Country (1991),"Rainmaker, The (1997)",One Fine Day (1996),"Close Shave, A (1995)"
8 Heads in a Duffel Bag (1997),3.25,4,Jerry Maguire (1996),Rosewood (1997),"River Wild, The (1994)",Ransom (1996)
8 Seconds (1994),3.75,4,"Devil's Advocate, The (1997)",Die Hard 2 (1990),Die Hard: With a Vengeance (1995),Seven (Se7en) (1995)
A Chef in Love (1996),4.125,8,"Bridge on the River Kwai, The (1957)",In & Out (1997),"Empire Strikes Back, The (1980)","Peacemaker, The (1997)"
Above the Rim (1994),3.0,5,Father of the Bride Part II (1995),"First Wives Club, The (1996)",Fly Away Home (1996),In the Line of Fire (1993)
Absolute Power (1997),3.37007874015748,127,Murder at 1600 (1997),Volcano (1997),"African Queen, The (1951)",Mimic (1997)
"Abyss, The (1989)",3.589403973509934,151,William Shakespeare's Romeo and Juliet (1996),Ghost (1990),Singin' in the Rain (1952),Amistad (1997)
Ace Ventura: Pet Detective (1994),3.0485436893203883,103,"Edge, The (1997)",Scream 2 (1997),Shine (1996),"Nightmare on Elm Street, A (1984)"
Ace Ventura: When Nature Calls (1995),2.675675675675676,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Spawn (1997),"Good, The Bad and The Ugly, The (1966)"
Across the Sea of Time (1995),2.75,4,Star Trek: Generations (1994),GoldenEye (1995),Benny & Joon (1993),Little Women (1994)
Addams Family Values (1993),2.8160919540229883,87,Father of the Bride Part II (1995),Jungle2Jungle (1997),"Fifth Element, The (1997)",Gattaca (1997)
Addicted to Love (1997),3.1666666666666665,54,Little Women (1994),Patton (1970),Stargate (1994),12 Angry Men (1957)
"Addiction, The (1995)",2.1818181818181817,11,That Thing You Do! (1996),Seven Years in Tibet (1997),"Sex, Lies, and Videotape (1989)",Ben-Hur (1959)
"Adventures of Pinocchio, The (1996)",3.051282051282051,39,Bonnie and Clyde (1967),In the Name of the Father (1993),What's Eating Gilbert Grape (1993),"Edge, The (1997)"
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111,"Devil's Advocate, The (1997)","Sex, Lies, and Videotape (1989)",Donnie Brasco (1997),Alien: Resurrection (1997)
"Adventures of Robin Hood, The (1938)",3.791044776119403,67,Mimic (1997),Gattaca (1997),"Peacemaker, The (1997)",Everyone Says I Love You (1996)
